Logging to file...
Dataset samples: 18801
######################Training Started######################
epoch   1 | iteration    20 | Loss 8.624711 | Acc 0.00% | WER 336.38% | BLEU-4 0.00
epoch   1 | iteration   920 | Loss 2.531177 | Acc 66.88% | WER 91.00% | BLEU-4 0.00
epoch   1 | iteration   940 | Loss 2.090796 | Acc 72.50% | WER 90.30% | BLEU-4 0.00
epoch   1 | iteration   960 | Loss 2.333272 | Acc 70.00% | WER 87.03% | BLEU-4 0.00
epoch   1 | iteration   980 | Loss 2.192502 | Acc 70.83% | WER 91.24% | BLEU-4 0.00
epoch   1 | iteration  1000 | Loss 2.337451 | Acc 68.75% | WER 89.59% | BLEU-4 0.00
epoch   1 | iteration  1020 | Loss 2.221639 | Acc 72.08% | WER 89.31% | BLEU-4 0.00
epoch   1 | iteration  1040 | Loss 2.498397 | Acc 66.88% | WER 90.83% | BLEU-4 0.00
epoch   1 | iteration  1060 | Loss 2.213511 | Acc 72.29% | WER 88.91% | BLEU-4 0.00
epoch   1 | iteration  1080 | Loss 2.201388 | Acc 70.62% | WER 90.27% | BLEU-4 0.00
epoch   1 | iteration  1100 | Loss 2.231308 | Acc 70.00% | WER 84.99% | BLEU-4 0.00
epoch   1 | iteration  1120 | Loss 2.789680 | Acc 62.71% | WER 92.28% | BLEU-4 0.00
epoch   1 | iteration  1140 | Loss 2.321301 | Acc 70.62% | WER 84.94% | BLEU-4 0.00
Average Training Loss of Epoch 1: 3.276493 | Acc: 63.14% | WER 99.09% | BLEU-4 0.00
